date,ssh_historical,ssh_rcp26,ssh_rcp45,tot_rcp45,rcp45_mean,ssh_rcp85,tot_rcp85,rcp85_mean
1950-12-31,-0.06714392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1951-12-31,-0.03964752,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1952-12-31,-0.043193787,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1953-12-31,-0.03826174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1954-12-31,-0.03937608,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1955-12-31,-0.05898255,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1956-12-31,-0.070831,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1957-12-31,-0.04254797,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1958-12-31,-0.07472372,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1959-12-31,-0.082716346,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1960-12-31,-0.051808864,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961-12-31,-0.0365977,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962-12-31,-0.10239446,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963-12-31,-0.076871514,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964-12-31,-0.049595356,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965-12-31,-0.05701357,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966-12-31,-0.04268858,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-12-31,-0.011582226,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-12-31,-0.009512037,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-12-31,-0.03551224,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-12-31,-0.062230587,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-31,-0.041761905,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-31,-0.035781324,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-12-31,-0.023646057,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974-12-31,-0.006289214,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975-12-31,-0.045006573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976-12-31,-0.07976818,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977-12-31,-0.0574795,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978-12-31,-0.010730386,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-31,-0.0058897138,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980-12-31,0.010576099,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981-12-31,-0.02140829,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982-12-31,-0.049465835,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983-12-31,-0.019673735,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-12-31,-0.030812621,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-31,-0.03656456,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986-12-31,-0.019845337,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-12-31,0.011521488,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988-12-31,0.010659337,NaN,NaN,NaN,NaN,NaN,NaN,NaN
